year,month,day,hour,O3_forecast,NO2_forecast,T_forecast,q_forecast,u_forecast,v_forecast,w_forecast,blh_forecast,NO2_satellite,HCHO_satellite,ratio_satellite,O3_target,NO2_target
2022.00,7.00,28.00,0.00,77.63,57.86,23.12,7.50,-2.18,0.80,0.89,88.38,,,,11.72,23.75
2022.00,7.00,28.00,1.00,93.01,60.40,24.00,7.53,-0.74,0.02,0.88,141.74,,,,6.35,30.00
2022.00,7.00,28.00,2.00,108.39,62.95,23.50,7.55,0.70,-0.76,0.88,90.42,,,,9.45,23.75
2022.00,7.00,28.00,3.00,123.77,65.49,23.85,7.57,2.14,-1.54,0.87,73.67,,,,8.70,30.90
2022.00,7.00,28.00,4.00,134.51,69.21,24.70,7.51,1.84,-1.20,0.57,81.99,,,,12.70,32.83
2022.00,7.00,28.00,5.00,145.25,72.92,26.30,7.45,1.54,-0.87,0.28,142.23,,,,21.78,40.62
2022.00,7.00,28.00,6.00,155.98,76.64,29.02,7.40,1.24,-0.53,-0.02,231.19,,,,26.70,41.70
2022.00,7.00,28.00,7.00,147.55,80.74,28.66,7.51,0.81,0.29,0.29,99.45,,,,26.93,40.50
2022.00,7.00,28.00,8.00,139.11,84.85,29.09,7.62,0.39,1.11,0.60,87.97,,,,36.40,30.50
2022.00,7.00,28.00,9.00,130.67,88.95,28.74,7.73,-0.04,1.93,0.91,56.13,,,,39.10,34.67
2022.00,7.00,28.00,10.00,116.33,73.46,32.92,7.84,0.46,0.88,0.89,42.96,,,,26.93,37.88
2022.00,7.00,28.00,11.00,102.00,57.96,30.60,7.94,0.96,-0.17,0.88,56.03,,,,8.47,48.75
2022.00,7.00,28.00,12.00,87.66,42.47,34.04,8.05,1.46,-1.22,0.87,25.43,,,,7.27,43.65
2022.00,7.00,28.00,13.00,84.55,40.24,32.15,7.65,1.55,-1.37,1.08,60.80,,,,5.48,47.30
2022.00,7.00,28.00,14.00,81.45,38.00,28.84,7.25,1.64,-1.51,1.29,518.62,,,,3.15,56.25
2022.00,7.00,28.00,15.00,78.34,35.77,29.71,6.85,1.73,-1.66,1.50,164.36,,,,4.20,45.95
2022.00,7.00,28.00,16.00,86.45,42.51,29.22,6.93,2.26,-2.05,0.97,32.23,,,,2.72,49.12
2022.00,7.00,28.00,17.00,94.56,49.25,28.41,7.01,2.79,-2.45,0.45,77.08,,,,3.12,43.22
2022.00,7.00,28.00,18.00,102.67,55.99,28.29,7.09,3.33,-2.84,-0.08,97.10,,,,3.75,37.75
2022.00,7.00,28.00,19.00,93.59,54.98,25.93,6.89,3.72,-2.40,0.35,172.71,,,,3.57,32.30
2022.00,7.00,28.00,20.00,84.50,53.97,27.03,6.70,4.11,-1.96,0.78,71.66,,,,3.20,24.45
2022.00,7.00,28.00,21.00,75.41,52.96,28.71,6.50,4.50,-1.52,1.21,44.22,,,,4.53,26.20
2022.00,7.00,28.00,22.00,80.65,67.25,27.60,6.73,3.32,-1.52,0.95,25.28,,,,4.30,22.05
2022.00,7.00,28.00,23.00,85.88,81.54,26.93,6.96,2.14,-1.52,0.70,75.75,,,,6.90,17.62
2024.00,5.00,23.00,0.00,33.52,15.81,9.54,16.26,3.14,0.81,0.44,33.48,,,,51.20,22.90
2024.00,5.00,23.00,1.00,35.20,15.33,10.29,16.02,3.21,0.99,0.64,55.54,,,,42.62,24.72
2024.00,5.00,23.00,2.00,36.88,14.85,10.13,15.78,3.27,1.17,0.84,66.84,,,,42.62,21.80
2024.00,5.00,23.00,3.00,38.56,14.38,7.83,15.54,3.33,1.35,1.03,29.67,,,,46.95,17.20
2024.00,5.00,23.00,4.00,36.06,17.23,7.69,15.52,3.23,1.22,1.35,15.48,,,,52.65,19.15
