year,month,day,hour,O3_forecast,NO2_forecast,T_forecast,q_forecast,u_forecast,v_forecast,w_forecast,blh_forecast,NO2_satellite,HCHO_satellite,ratio_satellite,O3_target,NO2_target
2022.00,7.00,28.00,0.00,73.35,57.54,22.99,7.68,-3.46,1.28,1.02,116.34,,,,21.28,26.75
2022.00,7.00,28.00,1.00,82.77,57.25,23.90,7.70,-1.35,0.29,0.99,181.65,,,,11.97,25.58
2022.00,7.00,28.00,2.00,92.19,56.97,23.89,7.72,0.76,-0.70,0.96,132.69,,,,11.95,23.40
2022.00,7.00,28.00,3.00,101.62,56.68,23.92,7.74,2.87,-1.69,0.93,95.37,,,,15.30,18.80
2022.00,7.00,28.00,4.00,113.51,64.06,25.55,7.81,2.45,-1.15,0.66,131.50,,,,17.15,21.03
2022.00,7.00,28.00,5.00,125.41,71.44,26.54,7.88,2.03,-0.61,0.39,188.49,,,,38.78,27.55
2022.00,7.00,28.00,6.00,137.30,78.83,29.45,7.95,1.60,-0.07,0.13,341.98,,,,58.83,26.30
2022.00,7.00,28.00,7.00,134.39,85.40,28.98,7.86,0.90,0.44,0.17,137.52,,,,41.10,22.80
2022.00,7.00,28.00,8.00,131.48,91.97,29.62,7.78,0.19,0.96,0.21,143.43,,,,55.27,23.15
2022.00,7.00,28.00,9.00,128.57,98.54,29.04,7.69,-0.52,1.47,0.25,70.70,,,,88.88,14.85
2022.00,7.00,28.00,10.00,114.03,78.39,30.81,7.64,0.27,0.59,0.43,107.53,,,,73.45,14.15
2022.00,7.00,28.00,11.00,99.49,58.24,31.27,7.59,1.05,-0.29,0.61,85.73,,,,43.72,19.20
2022.00,7.00,28.00,12.00,84.95,38.09,32.34,7.54,1.84,-1.17,0.79,42.26,,,,29.22,33.70
2022.00,7.00,28.00,13.00,86.94,36.03,32.31,7.40,1.94,-1.39,0.94,66.04,,,,19.25,32.80
2022.00,7.00,28.00,14.00,88.93,33.97,25.62,7.26,2.05,-1.62,1.10,366.83,,,,22.05,23.50
2022.00,7.00,28.00,15.00,90.92,31.91,29.88,7.12,2.15,-1.85,1.25,295.15,,,,15.52,27.08
2022.00,7.00,28.00,16.00,94.72,37.47,28.41,7.11,2.67,-2.19,0.82,82.51,,,,11.08,33.10
2022.00,7.00,28.00,17.00,98.52,43.02,29.18,7.10,3.18,-2.53,0.39,183.30,,,,7.23,43.00
2022.00,7.00,28.00,18.00,102.32,48.57,28.27,7.09,3.70,-2.87,-0.04,96.01,,,,6.68,45.22
2022.00,7.00,28.00,19.00,94.58,48.37,26.29,6.97,4.06,-2.45,0.42,282.85,,,,6.80,41.03
2022.00,7.00,28.00,20.00,86.84,48.17,27.09,6.85,4.43,-2.03,0.87,66.30,,,,5.30,36.07
2022.00,7.00,28.00,21.00,79.10,47.96,29.61,6.73,4.80,-1.61,1.32,64.67,,,,13.42,35.70
2022.00,7.00,28.00,22.00,77.48,63.93,27.46,6.70,3.61,-1.47,1.00,37.63,,,,10.12,33.78
2022.00,7.00,28.00,23.00,75.85,79.89,27.34,6.68,2.41,-1.33,0.67,30.62,,,,8.20,31.53
2024.00,5.00,23.00,0.00,34.13,14.34,9.60,16.12,2.99,0.53,-0.84,36.26,,,,28.75,22.12
2024.00,5.00,23.00,1.00,35.41,14.45,10.43,15.86,2.98,0.70,-0.72,60.20,,,,32.48,22.62
2024.00,5.00,23.00,2.00,36.70,14.57,10.19,15.60,2.98,0.88,-0.59,71.24,,,,27.45,24.30
2024.00,5.00,23.00,3.00,37.98,14.69,8.04,15.33,2.97,1.05,-0.47,36.45,,,,25.40,23.90
2024.00,5.00,23.00,4.00,31.84,21.11,8.96,15.91,2.67,0.94,-0.41,15.72,,,,32.80,23.23
2024.00,5.00,23.00,5.00,25.70,27.54,7.64,16.49,2.36,0.82,-0.35,17.01,,,,37.33,23.48
2024.00,5.00,23.00,6.00,19.56,33.96,9.06,17.07,2.06,0.71,-0.30,49.78,,,,54.80,21.12
2024.00,5.00,23.00,7.00,20.42,31.97,6.84,16.48,2.19,1.01,-0.55,31.89,0.74,1.78,0.41,51.70,19.88
2024.00,5.00,23.00,8.00,21.29,29.98,8.07,15.89,2.32,1.31,-0.81,148.83,,,,64.20,18.83
2024.00,5.00,23.00,9.00,22.15,27.99,7.35,15.30,2.44,1.61,-1.07,192.15,0.69,1.96,0.35,72.00,17.05
2024.00,5.00,23.00,10.00,19.95,31.76,7.57,15.88,2.29,1.27,-0.59,222.72,,,,76.83,16.43
2024.00,5.00,23.00,11.00,17.76,35.53,6.42,16.46,2.14,0.94,-0.12,88.59,,,,83.28,16.23
2024.00,5.00,23.00,12.00,15.56,39.30,5.39,17.03,1.99,0.61,0.35,23.79,,,,90.80,18.12
2024.00,5.00,23.00,13.00,10.58,48.97,6.86,17.26,1.89,0.65,0.54,37.56,,,,85.45,22.38
2024.00,5.00,23.00,14.00,5.60,58.63,6.82,17.49,1.78,0.69,0.72,17.63,,,,74.67,26.90
2024.00,5.00,23.00,15.00,0.62,68.30,8.47,17.72,1.68,0.73,0.91,36.22,,,,50.97,33.25
2024.00,5.00,23.00,16.00,3.95,76.29,8.40,17.90,1.23,0.75,0.54,36.32,,,,49.20,33.58
2024.00,5.00,23.00,17.00,7.28,84.28,11.04,18.09,0.78,0.77,0.17,34.21,,,,39.30,49.62
2024.00,5.00,23.00,18.00,10.61,92.27,12.29,18.28,0.33,0.79,-0.21,110.06,,,,19.15,45.17
2024.00,5.00,23.00,19.00,7.79,95.00,10.29,18.30,0.47,0.67,-0.37,42.56,,,,24.55,31.50
2024.00,5.00,23.00,20.00,4.96,97.74,9.77,18.32,0.62,0.55,-0.52,36.88,,,,29.15,27.07
2024.00,5.00,23.00,21.00,2.14,100.48,5.95,18.34,0.77,0.43,-0.68,39.39,,,,57.27,26.75
2024.00,5.00,23.00,22.00,5.96,83.39,7.35,17.65,1.23,0.49,-0.58,59.79,,,,35.23,21.03
2024.00,5.00,23.00,23.00,9.78,66.30,6.96,16.96,1.68,0.56,-0.48,57.87,,,,30.50,21.92
2022.00,7.00,24.00,0.00,58.23,57.51,14.41,8.09,1.87,-1.27,1.51,36.87,,,,16.07,11.27
2022.00,7.00,24.00,1.00,55.06,54.31,13.53,8.31,1.78,-1.19,1.49,106.05,,,,15.45,16.90
2022.00,7.00,24.00,2.00,51.89,51.10,13.64,8.53,1.69,-1.12,1.47,25.20,,,,17.95,22.57
2022.00,7.00,24.00,3.00,48.73,47.89,13.52,8.74,1.61,-1.04,1.45,17.99,,,,27.85,19.62
2022.00,7.00,24.00,4.00,49.84,57.87,11.16,8.66,1.70,-0.93,1.20,77.47,,,,40.38,13.68
2022.00,7.00,24.00,5.00,50.95,67.85,10.07,8.58,1.79,-0.82,0.95,47.39,,,,44.15,12.80
2022.00,7.00,24.00,6.00,52.06,77.83,9.31,8.50,1.88,-0.70,0.70,43.75,,,,48.68,10.95
2022.00,7.00,24.00,7.00,55.49,72.03,7.33,8.38,1.67,-0.98,0.86,48.96,,,,47.80,12.88
2022.00,7.00,24.00,8.00,58.92,66.23,9.13,8.26,1.46,-1.26,1.02,54.00,0.45,1.63,0.27,51.33,11.95
2022.00,7.00,24.00,9.00,62.34,60.43,11.54,8.14,1.24,-1.54,1.18,56.46,,,,48.97,10.90
2022.00,7.00,24.00,10.00,68.76,56.65,13.07,7.94,1.37,-1.29,1.19,32.57,,,,52.35,10.82
2022.00,7.00,24.00,11.00,75.18,52.86,12.59,7.75,1.49,-1.04,1.21,102.55,,,,47.70,13.97
2022.00,7.00,24.00,12.00,81.60,49.08,12.90,7.56,1.62,-0.80,1.23,69.69,,,,41.88,18.02
2022.00,7.00,24.00,13.00,81.50,46.54,14.65,7.47,1.57,-0.64,0.76,135.93,,,,38.35,18.80
2022.00,7.00,24.00,14.00,81.39,43.99,13.59,7.38,1.52,-0.48,0.28,68.42,,,,18.73,40.85
2022.00,7.00,24.00,15.00,81.29,41.45,11.28,7.30,1.47,-0.32,-0.19,190.53,,,,12.60,44.38
2022.00,7.00,24.00,16.00,81.30,40.64,9.67,7.26,1.19,-0.85,0.18,100.51,,,,10.68,44.45
2022.00,7.00,24.00,17.00,81.31,39.83,9.29,7.22,0.91,-1.38,0.55,81.45,,,,11.55,25.67
2022.00,7.00,24.00,18.00,81.33,39.02,8.86,7.19,0.63,-1.91,0.92,71.34,,,,15.55,24.92
2022.00,7.00,24.00,19.00,77.86,53.67,9.30,7.13,0.74,-1.33,0.83,51.82,,,,11.45,24.58
2022.00,7.00,24.00,20.00,74.38,68.31,13.18,7.07,0.85,-0.76,0.75,45.79,,,,9.80,17.95
2022.00,7.00,24.00,21.00,70.91,82.96,13.56,7.02,0.96,-0.19,0.67,154.18,,,,27.63,14.50
2022.00,7.00,24.00,22.00,81.75,84.22,12.73,7.10,0.86,-0.07,0.54,29.42,,,,18.00,20.65
2022.00,7.00,24.00,23.00,92.59,85.49,17.20,7.19,0.75,0.06,0.41,18.83,,,,17.70,18.35
2023.00,7.00,25.00,0.00,61.98,55.68,8.86,8.86,0.06,-0.44,0.54,28.55,,,,21.80,17.20
2023.00,7.00,25.00,1.00,45.99,62.10,7.73,8.37,-0.01,-0.03,0.72,43.96,,,,21.10,16.10
2023.00,7.00,25.00,2.00,30.01,68.52,6.89,7.88,-0.07,0.37,0.89,48.41,,,,7.57,14.00
2023.00,7.00,25.00,3.00,14.02,74.94,6.59,7.39,-0.14,0.78,1.07,32.54,,,,3.55,14.22
2023.00,7.00,25.00,4.00,9.72,85.67,6.26,7.54,-0.69,0.89,0.81,40.96,,,,21.48,17.70
2023.00,7.00,25.00,5.00,5.43,96.41,8.65,7.69,-1.24,0.99,0.55,81.21,,,,18.20,16.00
